"term","estimate","ci","estimate_exp","ci_exp","p.value","Wf_Subset_Var","Wf_Subset_Val"
"no2_per10",0.011669199085717,"(-0.00528, 0.02862)",1.01173754979665,"(0.995, 1.029)",0.177322496867921,"numwf_3cat","0"
"no2_per10",-0.0200633184500758,"(-0.05284, 0.01272)",0.980136610610873,"(0.949, 1.013)",0.2303100144922,"numwf_3cat","1"
"no2_per10",0.00484986150816845,"(-0.02277, 0.03247)",1.00486164112196,"(0.977, 1.033)",0.730737711584234,"numwf_3cat","2"
"no2_per10",0.011669199085717,"(-0.00528, 0.02862)",1.01173754979665,"(0.995, 1.029)",0.177322496867921,"numwf_4cat","0"
"no2_per10",0.00961482677725641,"(-0.03216, 0.05139)",1.00966119772128,"(0.968, 1.053)",0.651896405750788,"numwf_4cat","1"
"no2_per10",0.0142215231321512,"(-0.01961, 0.04805)",1.01432313008944,"(0.981, 1.049)",0.409982283488966,"numwf_4cat","2"
"no2_per10",0.033284278620075,"(-0.00905, 0.07562)",1.03384439732919,"(0.991, 1.079)",0.123343439692559,"numwf_4cat","3"
"no2_per10",0.011669199085717,"(-0.00528, 0.02862)",1.01173754979665,"(0.995, 1.029)",0.177322496867921,"areawf_3cat","0"
"no2_per10",-0.0251890528258972,"(-0.05724, 0.00686)",0.975125544361502,"(0.944, 1.007)",0.123441391223961,"areawf_3cat","1"
"no2_per10",-0.00273385695103584,"(-0.02879, 0.02333)",0.997269876632742,"(0.972, 1.024)",0.837090694786749,"areawf_3cat","2"
"no2_per10",0.011669199085717,"(-0.00528, 0.02862)",1.01173754979665,"(0.995, 1.029)",0.177322496867921,"areawf_4cat","0"
"no2_per10",-0.0111958069926603,"(-0.06031, 0.03792)",0.988866632815857,"(0.941, 1.039)",0.655064127724496,"areawf_4cat","1"
"no2_per10",-0.0066106393634586,"(-0.04212, 0.0289)",0.993411162844307,"(0.959, 1.029)",0.715200251664138,"areawf_4cat","2"
"no2_per10",-0.00973898476311728,"(-0.0436, 0.02412)",0.990308285569514,"(0.957, 1.024)",0.572918192198952,"areawf_4cat","3"
"no2_per10",0.011669199085717,"(-0.00528, 0.02862)",1.01173754979665,"(0.995, 1.029)",0.177322496867921,"popwf_3cat","0"
"no2_per10",-0.0051341758721988,"(-0.02602, 0.01575)",0.994878981481724,"(0.974, 1.016)",0.629947524600969,"popwf_3cat","1"
"no2_per10",0.0992451923890138,"(0.01975, 0.17874)",1.10433704140306,"(1.02, 1.196)",0.0144085960378738,"popwf_3cat","2"
"no2_per10",0.011669199085717,"(-0.00528, 0.02862)",1.01173754979665,"(0.995, 1.029)",0.177322496867921,"popwf_4cat","0"
"no2_per10",-0.00918729464312229,"(-0.03366, 0.01529)",0.99085477960023,"(0.967, 1.015)",0.461903493708683,"popwf_4cat","1"
"no2_per10",0.0760729077247298,"(0.02586, 0.12628)",1.07904124173134,"(1.026, 1.135)",0.00298363609215091,"popwf_4cat","2"
"no2_per10",0.1140355845064,"(-0.0052, 0.23327)",1.1207920070049,"(0.995, 1.263)",0.0608606023705171,"popwf_4cat","3"
