"term","estimate","ci","estimate_exp","ci_exp","p.value","urban","wf_subset_var","wf_subset_val"
"pm25_iqr",0.0337564697074773,"(-0.0232, 0.0907)",1.03433268471277,"(0.977, 1.095)",0.245648456935269,0,"popwf_3cat","0"
"pm25_iqr",0.203909937842427,"(0.086, 0.3218)",1.2261877153719,"(1.09, 1.38)",0.000701667673005171,0,"popwf_3cat","1"
"pm25_iqr",0.0980520797092393,"(-0.0042, 0.2003)",1.10302022858546,"(0.996, 1.222)",0.0602451481132754,0,"popwf_3cat","2"
"pm25_iqr",0.0337564697074773,"(-0.0232, 0.0907)",1.03433268471277,"(0.977, 1.095)",0.245648456935269,0,"popwf_4cat","0"
"pm25_iqr",0.0917948309800273,"(-0.0722, 0.2558)",1.09613990505853,"(0.93, 1.291)",0.272620742103141,0,"popwf_4cat","1"
"pm25_iqr",0.145138261673079,"(0.0264, 0.2638)",1.15619941728326,"(1.027, 1.302)",0.0165621905921195,0,"popwf_4cat","2"
"pm25_iqr",0.185532485580509,"(0.0437, 0.3274)",1.20385930720836,"(1.045, 1.387)",0.0103780195668855,0,"popwf_4cat","3"
"pm25_iqr",0.0337564697074773,"(-0.0232, 0.0907)",1.03433268471277,"(0.977, 1.095)",0.245648456935269,0,"numwf_3cat","0"
"pm25_iqr",0.180145406501955,"(0.0626, 0.2977)",1.19739145896769,"(1.065, 1.347)",0.00266173214445299,0,"numwf_3cat","1"
"pm25_iqr",0.0839426881905808,"(-0.0245, 0.1924)",1.08756656161515,"(0.976, 1.212)",0.129382220578657,0,"numwf_3cat","2"
"pm25_iqr",0.0337564697074773,"(-0.0232, 0.0907)",1.03433268471277,"(0.977, 1.095)",0.245648456935269,0,"numwf_4cat","0"
"pm25_iqr",0.207544761927709,"(0.0641, 0.351)",1.23065280199898,"(1.066, 1.42)",0.0045681199387032,0,"numwf_4cat","1"
"pm25_iqr",0.0934684696528044,"(-0.0664, 0.2534)",1.09797598323155,"(0.936, 1.288)",0.251917886947421,0,"numwf_4cat","2"
"pm25_iqr",0.0971704950427175,"(-0.0371, 0.2314)",1.10204825136814,"(0.964, 1.26)",0.155930905216442,0,"numwf_4cat","3"
"pm25_iqr",0.0337564697074773,"(-0.0232, 0.0907)",1.03433268471277,"(0.977, 1.095)",0.245648456935269,0,"areawf_3cat","0"
"pm25_iqr",0.164272858372352,"(0.0417, 0.2869)",1.17853584459703,"(1.043, 1.332)",0.00862989415526164,0,"areawf_3cat","1"
"pm25_iqr",0.115139900143262,"(0.0137, 0.2166)",1.12203039880577,"(1.014, 1.242)",0.0261068550450066,0,"areawf_3cat","2"
"pm25_iqr",0.0337564697074773,"(-0.0232, 0.0907)",1.03433268471277,"(0.977, 1.095)",0.245648456935269,0,"areawf_4cat","0"
"pm25_iqr",0.220305475947594,"(0.0625, 0.3782)",1.24645743520252,"(1.064, 1.46)",0.00622788147940751,0,"areawf_4cat","1"
"pm25_iqr",0.254340132978377,"(0.1059, 0.4028)",1.28961036869411,"(1.112, 1.496)",0.000783840198029417,0,"areawf_4cat","2"
"pm25_iqr",0.116891706526009,"(-0.0035, 0.2373)",1.12399770148362,"(0.997, 1.268)",0.0570358507316743,0,"areawf_4cat","3"
"pm25_iqr",0.0305786445263519,"(-0.0087, 0.0699)",1.0310509733758,"(0.991, 1.072)",0.127168274473487,1,"popwf_3cat","0"
"pm25_iqr",-0.0123826315334775,"(-0.0332, 0.0085)",0.987693717788282,"(0.967, 1.008)",0.244103147784516,1,"popwf_3cat","1"
"pm25_iqr",0.173643718716748,"(-0.0116, 0.3589)",1.18963164681792,"(0.988, 1.432)",0.066194295614053,1,"popwf_3cat","2"
"pm25_iqr",0.0305786445263519,"(-0.0087, 0.0699)",1.0310509733758,"(0.991, 1.072)",0.127168274473487,1,"popwf_4cat","0"
"pm25_iqr",0.0116001074206844,"(-0.0152, 0.0384)",1.01166764957955,"(0.985, 1.039)",0.395486522484672,1,"popwf_4cat","1"
"pm25_iqr",-0.096270675773479,"(-0.1666, -0.0259)",0.908218150144955,"(0.847, 0.974)",0.00729866533958375,1,"popwf_4cat","2"
"pm25_iqr",0.890448067937793,"(-0.4415, 2.2224)",2.43622099929175,"(0.643, 9.23)",0.190107752446767,1,"popwf_4cat","3"
"pm25_iqr",0.0305786445263519,"(-0.0087, 0.0699)",1.0310509733758,"(0.991, 1.072)",0.127168274473487,1,"numwf_3cat","0"
"pm25_iqr",0.00253331794118815,"(-0.0404, 0.0454)",1.00253652950248,"(0.96, 1.046)",0.907837406302641,1,"numwf_3cat","1"
"pm25_iqr",-0.0186206586639725,"(-0.0462, 0.0089)",0.98155163473767,"(0.955, 1.009)",0.18521783446131,1,"numwf_3cat","2"
"pm25_iqr",0.0305786445263519,"(-0.0087, 0.0699)",1.0310509733758,"(0.991, 1.072)",0.127168274473487,1,"numwf_4cat","0"
"pm25_iqr",0.0756980461578848,"(0.0106, 0.1408)",1.07863682644538,"(1.011, 1.151)",0.0225668940487025,1,"numwf_4cat","1"
"pm25_iqr",0.021779427958381,"(-0.0165, 0.0601)",1.02201833093715,"(0.984, 1.062)",0.265172824751221,1,"numwf_4cat","2"
"pm25_iqr",-0.0501056871447026,"(-0.1097, 0.0094)",0.951128897091202,"(0.896, 1.009)",0.0991027666317611,1,"numwf_4cat","3"
"pm25_iqr",0.0305786445263519,"(-0.0087, 0.0699)",1.0310509733758,"(0.991, 1.072)",0.127168274473487,1,"areawf_3cat","0"
"pm25_iqr",0.0138513219627536,"(-0.0264, 0.0541)",1.01394769597789,"(0.974, 1.056)",0.500043410431848,1,"areawf_3cat","1"
"pm25_iqr",-0.0254529542014345,"(-0.0513, 4e-04)",0.974868241341827,"(0.95, 1)",0.0533954191484244,1,"areawf_3cat","2"
"pm25_iqr",0.0305786445263519,"(-0.0087, 0.0699)",1.0310509733758,"(0.991, 1.072)",0.127168274473487,1,"areawf_4cat","0"
"pm25_iqr",0.076730708265452,"(0.0046, 0.1489)",1.07975126914621,"(1.005, 1.161)",0.0371296731075488,1,"areawf_4cat","1"
"pm25_iqr",0.0210121325155995,"(-0.0182, 0.0603)",1.02123444170516,"(0.982, 1.062)",0.294120639133776,1,"areawf_4cat","2"
"pm25_iqr",-0.0434659162963784,"(-0.0791, -0.0078)",0.957465187494509,"(0.924, 0.992)",0.0169528643312191,1,"areawf_4cat","3"
